,val_loss,val_KL_loss,val_RecoNLL_loss,val_RecoNLL_met_loss,val_RecoNLL_mt_loss,val_RecoNLL_mbb_loss,val_RecoNLL_mct2_loss,val_RecoNLL_mlb1_loss,val_RecoNLL_lep1Pt_loss,val_RecoNLL_nJet30_loss,val_RecoNLL_nBJet30_MV2c10_loss,loss,KL_loss,RecoNLL_loss,RecoNLL_met_loss,RecoNLL_mt_loss,RecoNLL_mbb_loss,RecoNLL_mct2_loss,RecoNLL_mlb1_loss,RecoNLL_lep1Pt_loss,RecoNLL_nJet30_loss,RecoNLL_nBJet30_MV2c10_loss,lr
23,315.7149002888569,74.12229420997068,271.2415220076317,43.83205967133609,102.54360198119086,20.71088798874966,124.86586093393969,14.518993014531333,4362489.434811148,22.33544374360619,22.33270263671875,323.2103035683418,78.49645782928083,276.1124261435215,44.00447790873884,104.78709790461721,22.278205958175366,127.32085277314077,14.580026098263236,4795688.251449513,22.335249921788066,22.33270263671875,0.002400000113993883
24,336.8369307881994,66.23532858406908,297.0957320417053,43.57690620051984,121.37903767556985,21.12834083743466,132.13978572111273,14.469240847847555,3634765.3418756668,22.334932954150375,22.33270263671875,315.55116634704837,70.68679632919907,273.1390861809195,43.668048862398436,103.82048951680962,20.71340474027628,125.65054609404913,14.470322290430339,4058685.9875287167,22.334758885409375,22.33270263671875,0.002400000113993883
25,287.0198413911581,61.292403886847886,250.24439784261963,43.0330706424409,85.19432105868871,17.661144234629873,122.01700694599542,14.231993574864383,3063432.519904001,22.335891464263028,22.33270263671875,296.09032687654695,64.23123864571488,257.55158166287566,43.24518325466802,90.14871295945231,18.43115580038904,124.15768594202439,14.339397264536302,3386930.6770594027,22.33445145256761,22.33270263671875,0.002400000113993883
26,287.66294136148565,55.127722884438654,254.58630597077237,42.652022083266715,90.61183593952822,17.088914520033725,121.32244838846789,14.140164277937174,2583111.6074173343,22.335713880470237,22.33270263671875,286.63171167042935,58.70027468416026,251.41154707835705,42.84717695275643,86.3815093792159,17.534524402007037,122.18285782516374,14.29240142416216,2878121.3235969804,22.333641924021894,22.33270263671875,0.002400000113993883
27,273.07854827980185,50.045954602013055,243.0509732149396,42.23463282389391,80.39514532455179,16.33450593419661,120.4211941104982,14.298995945361897,2121074.7518358724,22.33627088907899,22.33270263671875,283.1664301746328,53.18677416130511,251.2543630237953,42.439583151466465,87.18778514955957,17.045177793570623,121.62699546434206,14.140211922871233,2384583.6613609013,22.333987673893105,22.33270263671875,0.002400000113993883
28,271.92081990625553,45.144908587650825,244.8338725480203,41.76995423892374,83.16113196782672,15.553209704193131,119.90278619520481,15.047068091153257,1704476.19423666,22.336014899657687,22.33270263671875,279.4536415352992,48.10070691360659,250.5932170023687,42.00853954265525,88.11010775906736,16.218899302977647,120.47457054446164,14.574977970738834,1950628.8658926813,22.3341173546122,22.33270263671875,0.002400000113993883
29,263.695593736138,41.53888502752964,238.77226289875856,41.18104034837818,77.91596385683607,14.656194136198353,119.67526089453584,15.642848811146859,1372499.8912681537,22.336480346350832,22.33270263671875,268.73732882513156,43.606156506406414,242.573634365588,41.50759920037402,80.81049825252896,15.329273509530632,120.25554106290538,14.946742705163725,1581196.8071463734,22.334202029957787,22.33270263671875,0.002400000113993883
30,257.8331775534346,37.34627470876124,235.4254126711395,40.3837412327713,75.85515015501457,13.924534978371781,119.18652020758456,17.476889844751003,1059097.9264676722,22.32425482488352,22.33270263671875,263.2675258134442,39.80686166627886,239.3834088931341,40.78801198011414,78.99584131060355,14.470921169940784,119.59955374911034,15.794345011271373,1264040.5222144732,22.328697362335777,22.33270263671875,0.002400000113993883
31,256.9188892990599,33.48200322123458,236.82968704753222,39.572424373079485,77.94094810050775,12.977836212163629,119.31631321762674,26.256751127388846,746439.6002191423,22.256106250692934,22.33270263671875,262.3982639193809,36.053242988573906,240.76631695378362,39.91414293874055,80.52787361524778,13.928841233657755,120.32430081544331,19.42772209168315,941510.6963577563,22.304591995479633,22.33270263671875,0.002400000113993883
32,248.80713519664542,31.417454651753626,229.9566620096735,38.02729049228564,73.05696007530058,12.210820297983222,118.87241202248717,25.105872979633748,568079.2541102002,22.219589718021385,22.33270263671875,252.93506614385424,32.641505695956894,233.35016154919498,38.6070974174911,75.41076802795297,12.436460274547263,119.33229414069044,24.22461269475897,695832.2269240236,22.225043640370416,22.33270263671875,0.002400000113993883
33,249.09848169360637,28.21036763182485,232.17226041556938,37.309082875297285,76.16840585736215,11.828817928391311,118.69477214197151,25.399702321914777,454272.9401482544,22.172275087907284,22.33270263671875,253.10793847373142,29.797210748236598,235.22961142840134,37.53468393197063,76.77723545115778,12.045415023317119,120.91769428376283,27.616581793804812,546012.368422492,22.166538451565863,22.33270263671875,0.002400000113993883
34,241.21273049681452,26.187273672841666,225.5003655695033,36.714429846530614,71.02177105790346,11.410316422109325,117.76416701755107,25.974166577726272,381571.59868924867,22.276709087319556,22.33270263671875,244.49961353915876,27.423181598706314,228.0457040945115,37.01054284338121,72.99351920034077,11.579901388001616,118.04164374092451,25.66509430216251,448754.3988178263,22.22498161325099,22.33270263671875,0.002400000113993883
35,243.55403757691334,24.101704148244888,229.0930147786841,35.99655940514883,75.76236343206425,11.08276868704434,117.33409074206838,28.748758192615078,332574.66262384446,22.3507377840062,22.33270263671875,240.12158481225237,25.451895446201444,224.8504468590044,36.361649691334776,71.08058775787137,11.21875505882441,117.40820931298065,26.746564036111526,397844.66138825077,22.324256201722065,22.33270263671875,0.002400000113993883
36,233.7055342414755,22.29272587101181,220.3298982271196,35.18651580080222,69.09320023934735,10.799732486453694,116.05018128971334,38.527969447103764,288909.74014222884,22.37949313517,22.33270263671875,238.04299440499716,23.63359732857915,223.8628351979203,35.62652601912485,71.5786277997182,10.941776108812183,116.65768075477058,32.366778382586254,346444.6256615113,22.362633092413063,22.33270263671875,0.002400000113993883
37,229.09512664967696,20.835233007013233,216.59398676517498,34.280461250019094,67.33233978277327,10.566280636645132,114.98118547113485,59.75248112143956,249037.79224023432,22.436951570312893,22.33270263671875,232.26729602519512,21.90481936875533,219.12440417107888,34.74875541881482,68.92099673241236,10.663622701211096,115.45465396788876,42.449639137275575,303206.5200521688,22.39899277611434,22.33270263671875,0.002400000113993883
